transaction_id,target_stage,expected_reached,expected_candidate,expected_lookback_months,expected_priority,expected_value_out,expected_value_in,expected_ratio,expected_signals,expected_flags,expected_drop_reason,rationale
T001,economic,ranking,Y,12,high,480000000,0,0,payment_unverified;related_counterparty;post_anchor;no_necessity_evidence,,,계약상 대가는 있으나 지급 미확인 — no_verified_consideration과 중복 점등하지 않음
T002,temporal,ranking,Y,12,high,50000000,0,0,no_verified_consideration;related_counterparty;no_necessity_evidence,,,전형적 무상행위
T003,temporal,ranking,Y,12,high,80000000,0,0,no_verified_consideration;related_counterparty;no_necessity_evidence,boundary_case,,1년 창 안쪽 경계 2일
T004,temporal,temporal,N,12,,,,,,boundary_case,시간 창 밖 (창 시작 2024-08-20),1년 창 바깥 2일도 경계 표시
T005,temporal,ranking,Y,6,high,18000000,0,0,no_verified_consideration;no_necessity_evidence,,,일반 상대방 6월 창 안
T006,temporal,temporal,N,6,,,,,,boundary_case,시간 창 밖 (창 시작 2025-02-20),6월 창 바깥 2일도 경계 표시
T007,action,ranking,Y,6,high,35000000,0,0,no_verified_consideration;non_cash_waiver;no_necessity_evidence,,,채권 포기
T008,temporal,ranking,Y,12,high,12000000,0,0,no_verified_consideration;related_counterparty;post_anchor;no_necessity_evidence,,,파산신청 이후 행위
T009,temporal,ranking,Y,12,high,8000000,0,0,no_verified_consideration;related_counterparty;post_anchor;no_necessity_evidence,post_adjudication_soft,,파산선고 이후도 하드 배제하지 않음
T010,economic,ranking,Y,12,medium,620000000,200000000,0.3225806451612903,related_counterparty;no_necessity_evidence,direct_benefit == consideration_paid — 이중계상 회피,,일부 대가 지급이 확인된 매각
T011,action,ranking,Y,6,high,45000000,0,0,no_verified_consideration;non_cash_waiver;no_necessity_evidence,,,로열티 채권 포기
T012,party,ranking,Y,12,high,150000000,0,0,no_verified_consideration;related_counterparty;no_necessity_evidence,relation_period_unknown,,상대방 복수인 상속재산분할 지분 포기
T013,action,action,N,12,,,,,,,manual_review 로 라우팅,이혼 재산분할은 상당성 수동 검토
T014,action,action,N,6,,,,,,,art391-1/2/3 로 라우팅,실지급액과 채무감소액이 일치하는 정상 변제
T015,economic,economic,N,6,,12000000,11500000,0.9583333333333334,,direct_benefit == consideration_paid — 이중계상 회피,대가비율 0.9583 — 정상 대가 범위,정상매매 대조군
T016,temporal,temporal,N,12,,,,,,,시간 창 밖 (창 시작 2024-08-20),1년 창 밖
T017,economic,economic,N,6,,250000000,200000000,0.8,,,대가비율 0.8000 — 정상 대가 범위,신규자금이 직접 귀속된 담보 설정
T018,action,action,N,6,,,,,,,후보 행위 유형 아님 (ordinary_expense),일상 지출
T019,action,action,N,6,,,,,,,후보 행위 유형 아님 (ordinary_expense),일상 지출
T020,action,action,N,6,,,,,,,후보 행위 유형 아님 (ordinary_expense),일상 지출
T021,signal,ranking,Y,12,unresolved,,0,,no_verified_consideration;related_counterparty;related_party_fund_flow;post_anchor;no_valuation;no_necessity_evidence,relation_period_unknown,,"T001→T021 1홉 자금흐름 연결, 동일 자금 환류 확정은 아님"
T022,action,ranking,Y,6,high,22000000,0,0,no_verified_consideration;non_cash_waiver;proximity_before;no_necessity_evidence,,,시효이익 포기
T101,temporal,ranking,Y,6,high,500000000,0,0,no_verified_consideration;role_split_guarantee;related_principal_debtor;no_necessity_evidence,,,주채무자만 특수관계인이므로 1년 특칙 적용 금지
T102,temporal,ranking,Y,12,high,380000000,0,0,no_verified_consideration;related_counterparty;related_principal_debtor;proximity_before;no_necessity_evidence,affiliate_status_confirmed,,법률행위 상대방이 확인된 계열회사
T103,economic,ranking,Y,6,medium,300000000,12000000,0.04,role_split_guarantee,direct_benefit == consideration_paid — 이중계상 회피,,보증은 대가비율이 아니라 신호 개수 밴드로 분류
T104,temporal,ranking,Y,12,high,90000000,0,0,no_verified_consideration;related_counterparty;proximity_before;no_necessity_evidence,affiliate_status_confirmed,,확인된 계열회사에 대한 무상 이전
T105,temporal,temporal,N,12,,,,,,affiliate_status_confirmed,시간 창 밖 (창 시작 2024-07-11),1년 창 밖
T106,action,action,N,6,,,,,,,후보 행위 유형 아님 (ordinary_expense),일상 지출
T107,temporal,temporal,N,6,,,,,,,시간 창 밖 (창 시작 2025-01-11),주채무자만 특수관계인인 6월·12월 창 사이 대조군
T023,ranking,ranking,Y,12,unresolved,,0,,no_verified_consideration;related_counterparty;post_anchor;no_valuation;no_necessity_evidence,,,평가액 미상 항목을 별도 구획에 유지
T024,ranking,ranking,Y,12,unresolved,,0,,no_verified_consideration;related_counterparty;post_anchor;no_valuation;no_necessity_evidence,affiliate_status_confirmed,,비상장주식 평가액 미산정
T025,signal,ranking,Y,12,high,26000000,0,0,no_verified_consideration;related_counterparty;related_party_fund_flow;post_anchor;no_necessity_evidence,related_party_fund_flow_multihop,,"T001→T021→T025 2홉 자금흐름 연결, 직접 연결과 구별"
T027,economic,ranking,Y,6,high,30000000,0,0,debt_repayment_excess;post_anchor;no_necessity_evidence,debt_repayment_excess_isolated,,"130,000,000원 지급 중 실제 채무 감소 100,000,000원을 뺀 초과분 30,000,000원만 검토"
T028,action,action,N,6,,,,,,,excluded 로 라우팅,상속포기 route_out 경계 사례
