transaction_id,party_id,role,share_ratio,share_amount
T001,P-001,legal_counterparty,1,
T001,P-001,ultimate_beneficiary,1,
T002,P-002,legal_counterparty,1,
T002,P-002,ultimate_beneficiary,1,
T003,P-001,legal_counterparty,1,
T003,P-001,ultimate_beneficiary,1,
T004,P-001,legal_counterparty,1,
T004,P-001,ultimate_beneficiary,1,
T005,P-010,legal_counterparty,1,
T005,P-010,ultimate_beneficiary,1,
T006,P-010,legal_counterparty,1,
T006,P-010,ultimate_beneficiary,1,
T007,C-002,legal_counterparty,1,
T007,C-002,ultimate_beneficiary,1,
T008,P-002,legal_counterparty,1,
T008,P-002,ultimate_beneficiary,1,
T009,P-001,legal_counterparty,1,
T009,P-001,ultimate_beneficiary,1,
T010,P-005,legal_counterparty,1,
T010,P-005,ultimate_beneficiary,1,
T011,C-003,legal_counterparty,1,
T011,C-003,ultimate_beneficiary,1,
T012,P-003,legal_counterparty,0.5,
T012,P-004,legal_counterparty,0.5,
T012,P-003,ultimate_beneficiary,0.5,
T012,P-004,ultimate_beneficiary,0.5,
T013,P-007,legal_counterparty,1,
T013,P-007,ultimate_beneficiary,1,
T014,C-BANK,legal_counterparty,1,
T015,P-011,legal_counterparty,1,
T016,P-001,legal_counterparty,1,
T016,P-001,ultimate_beneficiary,1,
T017,C-BANK,legal_counterparty,1,
T017,D-001,ultimate_beneficiary,1,
T018,C-TELCO,legal_counterparty,1,
T019,C-LANDLORD,legal_counterparty,1,
T020,C-TAX,legal_counterparty,1,
T021,P-006,legal_counterparty,1,
T021,P-001,ultimate_beneficiary,1,
T022,C-004,legal_counterparty,1,
T022,C-004,ultimate_beneficiary,1,
T101,C-BANK2,legal_counterparty,1,
T101,CORP-AFF,principal_debtor,1,
T101,CORP-AFF,ultimate_beneficiary,1,
T102,CORP-AFF,legal_counterparty,1,
T102,CORP-AFF,principal_debtor,1,
T102,CORP-AFF,ultimate_beneficiary,1,
T103,C-BANK3,legal_counterparty,1,
T103,CORP-OTHER,principal_debtor,1,
T103,CORP-OTHER,ultimate_beneficiary,1,
T104,CORP-AFF,legal_counterparty,1,
T104,CORP-AFF,ultimate_beneficiary,1,
T105,CORP-AFF,legal_counterparty,1,
T105,CORP-AFF,ultimate_beneficiary,1,
T106,C-PAYROLL,legal_counterparty,1,
T107,C-BANK2,legal_counterparty,1,
T107,CORP-AFF,principal_debtor,1,
T107,CORP-AFF,ultimate_beneficiary,1,
T023,P-002,legal_counterparty,1,
T023,P-002,ultimate_beneficiary,1,
T024,CORP-AFF,legal_counterparty,1,
T024,CORP-AFF,ultimate_beneficiary,1,
T025,P-001,legal_counterparty,1,
T027,C-BANK,legal_counterparty,1,
